"column","sample","n","clusters","control_mean","t1","t1_se","t1_p","t2","t2_se","t2_p","p_equal","uses_controls","outcome"
"(1)","All soil-test plots",1951,113,0.695431472081218,0.0315714952778345,0.0292950767796522,0.283480472432242,0.255005845703034,0.0251940211883733,1.71722878137794e-17,7.3145224210044e-17,"No","any_fert"
"(2)","All soil-test plots",1829,113,0.736162361623616,0.0397913894496197,0.0265012227243175,0.136042290280012,0.237465283690481,0.0214794522616054,1.17788664721209e-19,2.21131434111641e-14,"Yes","any_fert"
"(3)","Maize soil-test plots",1626,113,0.823144104803493,0.0163392900304546,0.0305472457933815,0.593789129200817,0.168868674749224,0.0233741659001128,6.50887842189463e-11,2.13874770691016e-11,"No","any_fert"
"(4)","Maize soil-test plots",1595,113,0.821029082774049,0.0205610856076183,0.0301117690234886,0.496127043260706,0.175211305978793,0.0221763540158734,2.08600062629471e-12,6.11673749394669e-10,"Yes","any_fert"
"(1)","All soil-test plots",1951,113,78.4619289340101,2.2428188404707,7.2930348017849,0.759011965802353,30.5090477423803,6.39920289241698,5.64725567018544e-06,1.93559533250626e-07,"No","total_qty_fert"
"(2)","All soil-test plots",1829,113,82.8690036900369,2.15691218988937,6.80489549620117,0.751860399645771,35.1263726337081,4.99148390027728,1.6592896000317e-10,5.36740762002109e-09,"Yes","total_qty_fert"
"(3)","Maize soil-test plots",1626,113,83.3580786026201,3.36793615752814,6.87276686033037,0.625063590863612,28.5987904069648,6.00608085933472,5.78846798298817e-06,2.06230175292557e-07,"No","total_qty_fert"
"(4)","Maize soil-test plots",1595,113,83.0469798657718,2.50403547035109,6.20269015634575,0.687201958768248,33.4262666244809,5.35405405217535,7.89314152945649e-09,3.41506111932359e-10,"Yes","total_qty_fert"
"(1)","All soil-test plots",1867,113,52.6120206582942,2.20422873040846,4.82775776187485,0.64886147439643,31.5801905116101,3.19143864143917,5.74495413647995e-17,1.09323799835919e-09,"No","fert_per_acre"
"(2)","All soil-test plots",1829,113,52.8486228131512,2.39824912103948,4.08407839286073,0.558238453430677,28.5330697081018,3.17095391845345,6.74171437653061e-15,7.7521319322691e-09,"Yes","fert_per_acre"
"(3)","Maize soil-test plots",1626,113,54.518509550768,2.31720549713774,4.97669228123628,0.642397709815397,31.2413667107062,3.59831690599404,3.56612893334225e-14,9.96379970471547e-10,"No","fert_per_acre"
"(4)","Maize soil-test plots",1595,113,54.5219478916893,2.27458137873745,4.59101527566863,0.621258909816739,27.5027838859417,3.5956722266278,7.59533578493084e-12,1.54447888733592e-08,"Yes","fert_per_acre"
