"sample","potential_n","potential_clusters","analysis_n_min","analysis_n_max","analysis_clusters_min","analysis_clusters_max"
"All sampled main crops",1868,113,1811,1811,113,113
"Maize main crop",1625,113,1580,1580,113,113
