"column","sample","n","clusters","control_mean","t1","t1_se","t1_p","t2","t2_se","t2_p","p_equal","uses_controls"
"(1)","All crops",1952,113,10.2275296064399,-1.43552959739775,1.60104171336438,0.371843722352202,-7.61572203071394,1.37799253331159,2.15229707813513e-07,6.87372932322644e-06,"No"
"(2)","All crops",1830,113,11.1060332055461,-1.78624901733377,1.7461799383213,0.30853747505804,-7.90182875900708,1.51916735464296,9.01707694145319e-07,4.87457584653079e-05,"Yes"
"(3)","Maize only",1625,113,11.9966593829825,-1.13946379976584,2.01094673682327,0.572099002188689,-9.12993938786544,1.64284296348033,1.87548542554204e-07,2.66948392261578e-06,"No"
"(4)","Maize only",1594,113,12.2359507771946,-1.4048544136556,2.03171280115233,0.490705391126639,-8.83118673393095,1.71510136854145,1.1305240789117e-06,2.39448242079452e-05,"Yes"
