"outcome","outcome_label","controls","n","clusters","control_mean","t1","t1_se","t1_p","t2","t2_se","t2_p","p_equal"
"N_kgha","Nitrogen (kg/acre)","No",1625,113,18.4130337842029,0.638451046243165,1.97340981629023,0.746899598339504,10.4082334176912,1.18745242336845,2.3050947938382e-14,3.49700702616608e-07
"N_kgha","Nitrogen (kg/acre)","Yes",1594,113,18.396374662472,0.613456974635123,1.72974722183504,0.723517797055544,9.12131579325708,1.2269779634362,2.26526141587008e-11,2.88826760063229e-06
"P_kgha","Phosphorus (kg/acre)","No",1625,113,2.49900243415107,0.132692861514296,0.197134845591065,0.502265704013384,1.63290054965549,0.178614607514799,3.15104972954077e-15,7.53805133136828e-15
"P_kgha","Phosphorus (kg/acre)","Yes",1594,113,2.49711360516299,0.138654570574606,0.191540405998631,0.470641344998878,1.50955454232979,0.166519879139598,4.72940925844364e-15,1.35252390510439e-13
"K_kgha","Potassium (kg/acre)","No",1625,113,1.2576889900013,0.0767195435546099,0.0983063936404408,0.436794342831876,0.832102502054567,0.0900050667033926,1.82534470609056e-15,8.096371215147e-15
"K_kgha","Potassium (kg/acre)","Yes",1594,113,1.25694606432646,0.0785924706270728,0.0955928131474311,0.41273340474388,0.77324183425335,0.0843991755686237,2.8390017108747e-15,9.63991137460383e-14
"totalnutrient_kgha","Total nutrients (kg/acre)","No",1625,113,22.1697251929938,0.847863461508809,2.12198189013487,0.690240039444528,12.8732364896075,1.43339014435802,7.38658997497256e-15,4.69716986519305e-09
"totalnutrient_kgha","Total nutrients (kg/acre)","Yes",1594,113,22.1504343196355,0.830704023343077,1.89502602780563,0.661969537844303,11.4041121886408,1.44455799376762,2.15460182668132e-12,4.86790314708441e-08
