"variable","control_mean","t1_coef","t1_se","t1_p","t2_coef","t2_se","t2_p","n"
"Household head age",42.5136612021858,1.04933720291786,0.892105489142315,0.243507895081269,1.10253070186218,0.82030474487198,0.183364026978179,1843
"Household head male",0.779174147217235,0.0179956641035195,0.0270480568917488,0.508042219689972,0.0252702972272098,0.0264518339261179,0.342760807082706,1868
"Household size",4.89208633093525,0.106338865915147,0.128102996713415,0.409316707296449,0.309395150546231,0.137580497498651,0.0277351819968002,1866
"Land area (acres)",2.4990990990991,0.00712137334184669,0.137313424958019,0.958787126498145,0.0163169484491923,0.145047542531677,0.910760301895462,1863
"Difficulty feeding family",0.271095152603232,0.0575211995980277,0.0400626777434273,0.155541632366367,0.0474233659152871,0.0349077880616788,0.17874114632392,1868
