"treat","rec_N_kgha.n","rec_N_kgha.mean","rec_N_kgha.sd","rec_N_kgha.max","rec_P2O5_kgha.n","rec_P2O5_kgha.mean","rec_P2O5_kgha.sd","rec_P2O5_kgha.max","rec_K2O_kgha.n","rec_K2O_kgha.mean","rec_K2O_kgha.sd","rec_K2O_kgha.max","actual_N_kgha.n","actual_N_kgha.mean","actual_N_kgha.sd","actual_N_kgha.max","actual_P2O5_kgha.n","actual_P2O5_kgha.mean","actual_P2O5_kgha.sd","actual_P2O5_kgha.max","actual_K2O_kgha.n","actual_K2O_kgha.mean","actual_K2O_kgha.sd","actual_K2O_kgha.max"
"T1",569.000000, 23.908885,  8.975939, 58.436607,569.00000, 14.73731, 15.68714,115.45681,569.00000, 21.02402, 20.82723, 89.84021,569.00000, 16.38535, 15.10438, 81.75000,569.000000,  2.659302,  3.075716, 23.400000,569.000000,  1.459912,  2.080593, 19.500000
"T2",611.000000, 24.571373,  8.745582, 56.332241,611.00000, 15.94541, 17.47058,115.45681,611.00000, 23.87844, 23.13592, 89.84021,611.00000, 27.58222, 12.93669, 92.00000,611.000000,  4.149808,  2.702946, 27.000000,611.000000,  2.201860,  1.955072, 22.500000
