"scenario","column","outcome","n","clusters","control_mean","t1","t1_se","t1_p","t2","t2_se","t2_p","p_equal","uses_controls"
"preferred_adjusted","(2)","lnyield",1564,113,6.00643352685471,-0.120001559154758,0.102966819391097,0.246317336324653,0.290888787789696,0.0961845889254129,0.00309084547278188,0.000440893927820081,"Yes"
"drop_top_yield_F_3183","(2)","lnyield",1563,113,6.00643352685471,-0.117115771985222,0.102967068074716,0.25779441154699,0.282651261539468,0.0946999610313597,0.00348580554406169,0.000515018113381772,"Yes"
"drop_yield_above_10000","(2)","lnyield",1560,113,6.00643352685471,-0.125308945412299,0.101190618566109,0.218177313861456,0.272526936910208,0.0939016202156158,0.00446218570669221,0.00045500754024683,"Yes"
"drop_yield_above_5000","(2)","lnyield",1550,113,5.98713446966879,-0.128939299304791,0.10162696266348,0.207160502024651,0.274628331282314,0.0934380980132604,0.00399783354215017,0.000375388202809606,"Yes"
"drop_maize_area_below_0.1","(2)","lnyield",1562,113,6.00596147545882,-0.115523614972267,0.102984526144608,0.264365001564233,0.284673285460184,0.0946516528914339,0.00325206121618833,0.00050781525332685,"Yes"
