prod,C,T1,T2,delta_T2_minus_C
Urea,34.5736040609137,34.0111111111111,52.4132653061225,17.8396612452087
NPK_23105,30.5211505922166,33.8296296296296,49.2368804664723,18.7157298742557
NPK_152316,0.752961082910321,1.11851851851852,2.76967930029155,2.01671821738122
NPK_81815,2.79187817258883,4.4962962962963,2.72886297376093,-0.0630151988278995
CAN,2.47038917089679,2.94518518518519,1.31195335276968,-1.15843581812711
NPK_141420,0,0.355555555555556,0.291545189504373,0.291545189504373
Other,1.99661590524535,1.18592592592593,0.145903790087464,-1.85071211515788
DAP,1.94585448392555,0.222222222222222,0.0728862973760933,-1.87296818654946
K_product,1.46362098138748,1.16296296296296,0,-1.46362098138748
