"outcome","controls","n","clusters","control_mean","t1","t1_se","t1_p","t2","t2_se","t2_p","p_equal"
"ln_total_farm_exp","No",1286,113,11.7811559000234,0.246627624508142,0.122203077617394,0.0459626133109815,0.743368779562436,0.105816260647643,1.76278362604607e-10,4.19247140581373e-10
"ln_total_farm_exp","Yes",1254,113,11.7840848688543,0.231184622485184,0.10716816425053,0.033126098315134,0.79893404637538,0.0937037121617365,8.08702281507594e-14,6.0391941370805e-14
"ln_total_farm_exp_positive","No",1559,113,11.6702163182885,0.248691450666091,0.106929006124971,0.0218314197212789,0.745141025756754,0.094460880949892,2.22424986161741e-12,9.33744633780419e-11
"ln_total_farm_exp_positive","Yes",1518,113,11.674511815667,0.238904006676798,0.0922080349727349,0.0108451920661992,0.798696313773384,0.08249315424885,1.79024103349857e-16,8.91154303634566e-15
"ln_total_farm_exp_exc_fert","No",1286,113,10.5050049115872,0.284328361997872,0.109955494258834,0.0109968154014195,0.261993343802701,0.0960538310607031,0.00740894104698028,0.825875751215378
"ln_total_farm_exp_exc_fert","Yes",1254,113,10.5060169188934,0.245010971004627,0.0993255324406075,0.015149255949597,0.298893262235362,0.0948925559855176,0.00209525953994173,0.557180059206901
"ln_farm_profits","No",1496,113,12.8725259282567,-0.170247191376207,0.110062862947728,0.124728244282201,0.245501364721609,0.109118951420828,0.0264125412160929,0.00119546512121155
"ln_farm_profits","Yes",1453,113,12.87411785347,-0.145557196536453,0.106274815162953,0.173542193936859,0.265524950196696,0.102553317137067,0.0108982644873743,0.000909062089255503
"asinh_farm_profits","No",1625,113,12.7988521369171,-1.70040253267301,0.690908934643407,0.0153766647508306,-1.71088606715567,0.842071474087585,0.0445449269955592,0.992023955866393
"asinh_farm_profits","Yes",1580,113,12.7779924640256,-1.72223543498436,0.667009822343631,0.0111123773738594,-1.75673128824463,0.751772333205113,0.0212280142626718,0.969358773874682
"farm_profits","No",1625,113,602302.910480349,-42954.8477497192,59227.1925220098,0.469807911083859,78741.8079196511,70043.2842280091,0.26333702267298,0.110933248023073
"farm_profits","Yes",1580,113,604255.123595506,-65431.8845329878,56969.3215748969,0.253190337339186,102890.699556634,64062.1419024718,0.11106611700475,0.0197109267793059
