"specification","control_mean_label","n","clusters","control_mean","t1","t1_se","t1_p","t2","t2_se","t2_p","p_equal"
"Level profits, baseline valuation","MWK",1625,113,383403.8930131,-28660.3505776712,46760.2301484557,0.541170843098186,189816.146643843,52385.632865783,0.000438565158421006,0.000199700821248747
"Level profits, winsorized harvest quantity","MWK",1625,113,358448.281659389,-28573.3001095677,41660.9618402464,0.494223018407165,205060.637997555,49540.5010456447,6.77484347488592e-05,2.03247657502051e-05
"Level profits, winsorized harvest and costs","MWK",1625,113,372463.565502183,-37327.6060925841,40098.2069083803,0.353905138156119,194109.364448094,48200.7110512456,0.000103101941454055,2.30653694923278e-05
"Log profits, positive-profit sample only","log(MWK)",1478,113,12.3870777663002,-0.0746093869471192,0.11017646118559,0.499687586307575,0.574142526277284,0.110814865065406,9.84610809906576e-07,2.61779318496172e-07
