"outcome","control_mean","t1_mean","t1_coef","t1_se","t1_p","t2_mean","t2_coef","t2_se","t2_p","p_equal","n"
"Agronaut visited household",0.174147217235189,0.40251572327044,0.228368506035249,0.0365614215405279,2.90247579000215e-08,0.38962962962963,0.215482412394444,0.0412299784919134,1.7633663942672e-06,0.780173899326818,1868
"Received recommendation",0.00179533213644524,0.966981132075472,0.96518579993901,0.0100603018193923,8.77010175742665e-76,0.985185185185185,0.983389853048738,0.00496199326131665,1.62644301573028e-96,0.0958927061589825,1868
"Received voucher",0,0,4.46238681133613e-15,1.83166114634228e-16,7.92004419002812e-36,0.974814814814815,0.974814814814828,0.00594141249767742,6.88511262956158e-91,0,1868
"Found recommendation easy/very easy, conditional on receipt",NA,0.80650406504065,NA,NA,NA,0.899248120300752,0.0927440552600984,0.0178816012031282,1.72416998078623e-06,1.72416998078623e-06,1280
"Followed recommendation, conditional on receipt",NA,0.608130081300813,NA,NA,NA,0.926315789473684,0.318185708172867,0.0306840638001836,3.36093747444896e-16,3.36093747444896e-16,1280
"Redeemed voucher, conditional on receipt",NA,NA,NA,NA,NA,0.986322188449848,NA,NA,NA,NA,658
"Voucher enough for full recommended purchase, conditional on redemption",NA,NA,NA,NA,NA,0.14175654853621,NA,NA,NA,NA,649
