"outcome","outcome_label","controls","n","clusters","t1_mean","t2_mean","t2_minus_t1","t2_minus_t1_se","t2_minus_t1_p"
"rec_N_kgha","Recommended N","No",1180,79,23.9088846413448,24.5713729835482,0.662488342203435,1.01231023637339,0.514758525152445
"rec_N_kgha","Recommended N","Yes",1160,79,23.9447661369374,24.5550276151414,0.447747405491687,1.00222942995682,0.656292533410654
"actual_N_kgha","Actual N applied","No",1180,79,16.3853496168506,27.5822236798204,11.1968740629696,1.01460758677966,1.34346136778545e-17
"actual_N_kgha","Actual N applied","Yes",1160,79,16.4488661923268,27.5945887626511,9.8671831263531,0.955947658632616,3.04744170640718e-16
"abs_error_N_kgha","Absolute N application error","No",1180,79,15.3288017773987,11.8690923271186,-3.45970945028004,0.669031950430249,1.75145460370381e-06
"abs_error_N_kgha","Absolute N application error","Yes",1160,79,15.339995769091,11.853339357928,-3.5129028812979,0.653977294489981,7.83436516292204e-07
"shortfall_N_kgha","N shortfall","No",1180,79,11.4261684009464,4.42912081542322,-6.99704758552322,0.803188195294853,3.91632311534858e-13
"shortfall_N_kgha","N shortfall","Yes",1160,79,11.4179478568508,4.40688910520916,-6.46616930107957,0.796908941695219,5.65718041245734e-12
"rec_P2O5_kgha","Recommended P$_2$O$_5$","No",1180,79,14.7373139919495,15.945409104208,1.2080951122585,1.84930229102365,0.515502827760187
"rec_P2O5_kgha","Recommended P$_2$O$_5$","Yes",1160,79,14.7519819115369,15.938128524347,1.23219106908651,1.89978404576643,0.518504984031781
"actual_P2O5_kgha","Actual P$_2$O$_5$ applied","No",1180,79,2.65930233014986,4.14980801662063,1.49050568647077,0.193126291248373,3.30679357425996e-11
"actual_P2O5_kgha","Actual P$_2$O$_5$ applied","Yes",1160,79,2.6785080674782,4.1483684445873,1.35801278271566,0.188245101029453,3.07536398699211e-10
"abs_error_P2O5_kgha","Absolute P$_2$O$_5$ application error","No",1180,79,12.2599879960517,11.8644003502337,-0.395587645817999,1.79829392864399,0.826461899129091
"abs_error_P2O5_kgha","Absolute P$_2$O$_5$ application error","Yes",1160,79,12.2580452062502,11.8594575837507,-0.229670134866696,1.84052397629757,0.901014654645208
"shortfall_P2O5_kgha","P$_2$O$_5$ shortfall","No",1180,79,12.1689998289256,11.8300007189105,-0.338999110015118,1.79869689762381,0.85099828747473
"shortfall_P2O5_kgha","P$_2$O$_5$ shortfall","Yes",1160,79,12.1657595251545,11.8246088317552,-0.177745924247935,1.84339451979505,0.923431816634244
"rec_K2O_kgha","Recommended K$_2$O","No",1180,79,21.0240236535524,23.8784398920401,2.85441623848763,2.39774551422598,0.237476795423105
"rec_K2O_kgha","Recommended K$_2$O","Yes",1160,79,21.0298753291595,23.9453643036934,2.98750021597273,2.39692160068304,0.216351364129749
"actual_K2O_kgha","Actual K$_2$O applied","No",1180,79,1.45991227507735,2.20185981897269,0.741947543895334,0.137063609852129,6.61994144401025e-07
"actual_K2O_kgha","Actual K$_2$O applied","Yes",1160,79,1.47137269967738,2.19997721068711,0.691209935711931,0.133176488271734,1.623949507987e-06
"abs_error_K2O_kgha","Absolute K$_2$O application error","No",1180,79,19.6525698321503,21.6923489072712,2.03977907512093,2.3471189397662,0.387482529649413
"abs_error_K2O_kgha","Absolute K$_2$O application error","Yes",1160,79,19.648222522782,21.7612318098768,2.2196749056694,2.3439408971876,0.3465714521662
"shortfall_K2O_kgha","K$_2$O shortfall","No",1180,79,19.6083406053126,21.6844644901693,2.07612388485661,2.34730839140707,0.379160847233171
"shortfall_K2O_kgha","K$_2$O shortfall","Yes",1160,79,19.6033625761321,21.7533094514415,2.25798259296508,2.3447557392324,0.338527223306277
