"stage","control_mean","t1_coef","t1_se","t1_p","t2_coef","t2_se","t2_p","p_equal","n"
"Endline target",0.965686274509804,-0.0281862745098079,0.0181108007178899,0.124135102520038,0.0115217026981736,0.010119913903966,0.258805312099341,0.0215831914005986,2034
"Interview completed",0.942470389170897,-0.000248166948673814,0.0151443133515429,0.98697243401677,0.0414946254063618,0.0106929978606342,0.000234525910010391,0.00164292815730079,2034
"Matched to soil test data",0.678510998307953,0.22074826095131,0.0701732320249529,0.00243253966331094,0.222363637260561,0.0702364963603725,0.00229692110677405,0.963604888903114,2034
